YYYY,State,components,ratio,score
All,KY,1,0.5939682727353909,0.7950127164009478
All,KY,2,0.8814538461319101,0.8798386606376528
All,KY,3,0.9090035725495301,0.879467947968493
All,KY,4,0.9363302242358414,0.9073543535808695
All,KY,5,0.946104235368271,0.9189351107836664
All,KY,6,0.9536370744019734,0.9110236206467549
All,KY,7,0.9591682129873267,0.9262929792855467
All,KY,8,0.9640043684408119,0.9274815312728976
All,KY,9,0.968056408561518,0.9290190735986714
All,KY,10,0.9716470447617274,0.9168067435342975
All,OH,1,0.5566968722278884,0.7083167484498828
All,OH,2,0.8514589314739236,0.7014767311943614
All,OH,3,0.8846881716293281,0.6627489060068408
All,OH,4,0.9132937857148916,0.6946747498801862
All,OH,5,0.9353406344551224,0.7135657415945122
All,OH,6,0.9485009281097877,0.6664804293618963
All,OH,7,0.9605027131414325,0.6877116912869455
All,OH,8,0.9665740897887529,0.6167390706506596
All,OH,9,0.972334681119253,0.6578620637674313
All,OH,10,0.9758798915763142,0.7290321205602616
All,PA,1,0.5264319888427029,0.6789636355421889
All,PA,2,0.8229676838988731,0.7274465182393037
All,PA,3,0.8675260884432223,0.7461199144869213
All,PA,4,0.9014727122420174,0.7924865257961404
All,PA,5,0.9292998248973123,0.8411202531626925
All,PA,6,0.9447067400625415,0.8133664989005378
All,PA,7,0.9517359153561494,0.8990945742896447
All,PA,8,0.9578948237173615,0.9097787284783012
All,PA,9,0.9630483584196198,0.8626374379512269
All,PA,10,0.9678839119137,0.925654421640082
All,VA,1,0.5737379769462614,0.5444133365095671
All,VA,2,0.8476746436328025,0.7117873271560525
All,VA,3,0.8827770429812289,0.6965561395859716
All,VA,4,0.913964688681317,0.6663179363354039
All,VA,5,0.9388071330701669,0.5601399678105808
All,VA,6,0.9502826120602764,0.5527147871877003
All,VA,7,0.9582817102317696,0.6390507362772732
All,VA,8,0.9633253299529895,0.6170009441184725
All,VA,9,0.9670966067640367,0.600690552220801
All,VA,10,0.9704087301573534,0.5989256414386326
All,WV,1,0.4694187966740365,0.2719194857658982
All,WV,2,0.7815223276578299,0.5760192865342797
All,WV,3,0.828594205053978,0.6308908204815715
All,WV,4,0.8579413172965296,0.6786620096114893
All,WV,5,0.8827971913686313,0.6470166620762117
All,WV,6,0.8978156664136139,0.6189845107236662
All,WV,7,0.9108646558461446,0.6706516487188099
All,WV,8,0.9200481018508425,0.6947008007907104
All,WV,9,0.9280640056727053,0.6482651782962736
All,WV,10,0.9348519363174086,0.6700248295368592
All,All,1,0.5255825741672258,0.5880005839262138
All,All,2,0.7849905211814097,0.6273540538524275
All,All,3,0.8270460708909596,0.6382917578749667
All,All,4,0.8575287440814222,0.6583266882234909
All,All,5,0.8838007816749269,0.6210997715655684
All,All,6,0.9023540611615053,0.5869456153001537
All,All,7,0.9180935322810817,0.7776765432084074
All,All,8,0.9288759634839303,0.7533296258793403
All,All,9,0.9376020365297811,0.7796398875811417
All,All,10,0.9448719677951726,0.771733483916021
